Cube ID,Timestamp,Temperature Layer A,Temperature Layer B,Humidity Layer A,Humidity Layer B
55,1,,,,8.59
99,9,,,,9.35
75,10,,,10.64,
9,16,,,,11.06
7,20,,,9.89,
49,22,,,11.37,
34,26,,,,10.55
43,28,,,10.68,
87,30,,,9.54,
44,34,,,,8.42
2,36,,,,8.64
58,36,,,9.46,
73,37,,,8.11,
39,42,,,,8.36
38,44,,,7.45,
40,44,,,8.91,
45,50,,,,7.25
44,52,,,10.14,
2,53,,,10.09,
65,65,,,10.65,
45,67,,,9.8,
77,68,,,10.91,
99,68,,,11.36,
63,71,,,8.78,
21,72,,,,9.95
52,72,,,7.84,
54,76,,,,8.25
9,78,,,10.91,
40,78,,,,10.0
84,79,,,,10.11
26,80,,,9.9,
98,82,,,10.79,
83,82,,,,8.93
91,83,,,,10.44
95,87,,,,9.4
58,90,,,,9.15
75,91,,,,10.19
30,96,,,8.54,
37,99,,,8.29,
46,103,,,,9.05
17,104,,,9.39,
62,105,,,10.43,
50,106,,,9.86,
76,107,,,8.69,
51,109,,,8.3,
88,109,,,9.75,
24,114,,,9.46,
41,114,,,,7.93
59,115,,,7.63,
34,116,,,8.7,
7,117,,,,8.18
4,122,,,8.43,
64,122,,,9.61,
38,125,,,,8.78
35,133,,,8.21,
1,135,,,8.19,
16,135,,,8.23,
94,137,,,10.03,
51,138,,,,9.4
98,138,,,,9.05
81,139,,,9.74,
82,141,,,,7.99
67,141,,,7.84,
80,142,,,10.49,
72,143,,,8.5,
71,145,,,,9.5
32,146,,,8.32,
47,153,,,8.01,
60,153,,,10.6,
88,154,,,,11.34
61,154,,,9.75,
50,155,,,,9.92
33,155,,,,9.58
83,159,,,9.92,
96,160,,,9.29,
20,161,,,,
25,162,,,,8.37
48,163,,,,10.71
78,163,,,,9.3
17,165,,,,9.03
56,170,,,10.38,
41,171,,,10.42,
0,172,,,8.68,
61,178,,,,7.87
82,180,,,9.86,
85,181,,,8.82,
80,181,,,,9.99
59,183,,,,10.5
33,183,,,7.39,
29,189,,,,7.8
87,189,,,,8.51
23,189,,,9.27,
25,194,,,10.71,
81,194,,,,10.31
63,195,,,,8.83
12,197,,,9.01,
18,198,,,,9.12
31,198,,,,8.23
8,202,,,8.3,
11,203,,,,8.91
24,213,,,,9.1
29,213,,,8.23,
71,222,,,7.07,
47,223,,,,10.39
5,226,,,,9.41
15,232,,,,10.06
64,233,,,,10.74
0,235,,,,8.8
30,238,,,,10.0
74,238,,,,10.23
90,245,,,,11.1
97,246,,,9.25,
85,253,,,,10.74
97,265,,,,10.41
72,265,,,,9.93
35,266,,,,10.45
92,267,,,9.02,
42,271,,,,9.32
57,281,,,9.85,
14,287,,,,7.84
13,287,,,,9.29
53,289,,,8.72,
39,290,,,9.11,
78,294,,,7.79,
73,294,,,,9.7
70,296,,,10.49,
6,304,,,,10.34
3,307,,,9.97,
91,309,,,7.7,
19,309,,,9.0,
84,309,,,8.76,
15,310,,,11.44,
16,317,,,,6.42
26,319,,,,8.64
86,319,,,9.31,
28,320,,,,10.8
4,321,,,,6.19
43,323,,,,9.62
93,325,,,,8.09
36,330,,,11.2,
57,334,,,,8.18
54,335,,,9.06,
66,338,,,,10.24
56,344,,,,10.85
65,345,,,,12.6
27,349,,,9.48,
48,352,,,10.33,
6,353,,,9.81,
55,353,,,9.79,
32,354,,,,10.1
22,354,,,9.24,
79,356,,,10.63,
12,357,,,,9.26
69,359,,,8.01,
86,361,,,,11.37
3,362,,,,8.76
42,365,,,7.96,
5,365,,,10.5,
92,369,,,,10.94
79,369,,,,9.07
96,374,,,,10.59
69,374,,,,9.62
89,380,,,9.08,
53,385,,,,10.23
